Lat,Long,Negotiable,Area,NoofBedrooms,NoofBathrooms,FloorType,NoofBalconies,Age,Maint_sqft,Furnished,Facing,OnFloor,NooffloorsinBldg,Parking,PowerBackup,WaterSupply,HousePriceinK
19.1154908,72.8726952,Negotiable,920,2,2,Vitrified Tiles,0,>10 years old,2.9,Unfurnished,NA,3,6,Bike and Car,NA,Corporation,14500
19.2091496,72.862204,Negotiable,1200,3,2,Vitrified Tiles,0,>10 years old,3.3,Unfurnished,East,7,7,Bike and Car,Full,Both,18e3
19.2073529,72.8792231,Negotiable,990,2,2,Vitrified Tiles,0,>10 years old,4.5,Full,East,1,10,Bike and Car,None,Corporation,13600.000000000002
19.2114533,72.8737217,Negotiable,1786,3,3,Vitrified Tiles,0,1-3 years old,2.8,Semi,North,10,22,Bike and Car,Full,Corporation,35500
19.1154908,72.8726952,Negotiable,820,2,2,Marble/Granite,2,>10 years old,2,Full,East,0,4,Bike and Car,None,Corporation,16e3
18.9897041,72.8313923,Negotiable,460,1,1,Marble/Granite,0,5-10 years old,4.3,Semi,East,6,7,Car,None,Corporation,13700.000000000002
19.1582376,72.9326521,Negotiable,785,2,2,Vitrified Tiles,0,>10 years old,3.1,Full,South-East,1,7,Bike and Car,NA,Both,14e3
19.048197300000002,72.9173919,Negotiable,1235,3,2,Vitrified Tiles,1,5-10 years old,5.7,Full,West,2,12,Bike and Car,Partial,Corporation,29e3
19.11337974,72.82962593,Negotiable,625,1,2,Marble/Granite,0,>10 years old,2.7,Full,East,4,12,Bike and Car,NA,Corporation,27500
19.1954467,72.8670558,Negotiable,600,1,2,Vitrified Tiles,0,1-3 years old,0,Unfurnished,North,10,18,None,None,Both,8500
19.11750811,72.82805634,Negotiable,1500,3,3,Marble/Granite,0,>10 years old,7.3,Full,North-East,6,6,Car,NA,Corporation,53e3
19.1755231,72.86777421,Negotiable,875,2,2,Vitrified Tiles,0,>10 years old,4.3,Semi,East,8,8,Bike and Car,NA,Corporation,13200
19.1981746,72.8104299,Negotiable,1e3,2,1,Marble/Granite,1,>10 years old,0,Unfurnished,North,0,1,None,NA,Corporation,7e3
19.1837559,72.9377,Negotiable,755,2,2,Marble/Granite,0,>10 years old,2.4,Full,East,4,7,Bike and Car,Full,Corporation,14500
19.13099289,72.82807922,Negotiable,1658,3,2,Vitrified Tiles,5,1-3 years old,6.6,Unfurnished,West,21,30,Car,NA,Corporation,34e3
19.1956553,72.8727556,Negotiable,1560,3,3,Vitrified Tiles,2,>10 years old,2.1,Semi,North-East,9,15,Bike and Car,Full,Corporation,2e4
19.1629338,72.839241,Negotiable,1450,3,2,Vitrified Tiles,0,>10 years old,0.7,Unfurnished,East,2,4,Bike and Car,NA,Corporation,25e3
19.2107218,72.8247068,Negotiable,670,2,1,Vitrified Tiles,0,>10 years old,4.5,Semi,West,3,4,Car,NA,Corporation,14e3
19.1827551,72.8401539,Negotiable,645,1,1,Vitrified Tiles,0,>10 years old,5.4,Semi,NA,6,7,Bike and Car,NA,Corporation,9700
19.1509879,72.9315251,Negotiable,767,2,3,Mosaic,0,>10 years old,4.6,Unfurnished,NA,1,7,Bike and Car,NA,Both,12e3
19.06677235,72.89051951,Negotiable,630,1,2,Vitrified Tiles,0,1-3 years old,4,Unfurnished,East,1,12,Bike and Car,NA,Corporation,9900
19.07043922,72.87504464,Negotiable,1e3,3,1,Vitrified Tiles,0,>10 years old,1.5,Semi,East,3,3,Bike and Car,NA,Corporation,15e3
19.137675,72.864102,Non-negotiable,1341,3,3,Vitrified Tiles,5,5-10 years old,5.2,Full,NA,0,12,Bike and Car,Partial,Corporation,25e3
19.0486267,72.8886285,Negotiable,1102,3,2,Vitrified Tiles,0,>10 years old,5.3,Semi,South-West,4,7,Bike and Car,Full,Both,2e4
19.0822702,72.8488455,Negotiable,845,2,2,Vitrified Tiles,2,1-3 years old,8.3,Unfurnished,East,3,12,None,NA,Borewell,18e3
