Unique ID,PostedTime,Lat,Long,SaleType,HouseType,Address,Verified,LoanVerified,Price,Negotiable,Area,Measure,MonthlyEMI,Bedrooms,Bathrooms,FloorType,Balconies,ShortAddress,Bldgtype,Age,OwnedBy,Maintanance,FloorType2,Area2,Furnished,Facing,FloorOn,Parking,PowerBackup,WaterSupply,propid,
1531,NA,19.1110621,72.8655922,Resale,"1 BHK for sale,
Bharateeya Kala CHS","Bharateeya Kala Chs, Om Nagar, J B Nagar, Near Jeena House",Pre-verified,Loan Verified,83 Lacs,Negotiable,400,Sq.Ft,64.52 K/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Bharateeya Kala CHS,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818162b972a90162ba961d5942db,
1532,"Jul 12, 2018 10:59:24 PM",19.12030693,72.83925216,Resale,"2 BHK for sale,
City Atlantic","City Atlantic, Vitthalbhai Patel Rd Near Sagarcity Towe ...",Pre-verified,Loan Verified,1.9 Crores,Negotiable,990,Sq.Ft,1.48 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,City Atlantic,Apartment,>10 years old,Self Owned,5.1 per sq.ft/m,Vitrified Tiles,990 sq.ft,Full,East,Floor 3 / 16,Bike and Car,NA,Both,ff80818161ad51cd0161ae0e1f3a6473,
1533,"Jul 12, 2018 10:00:21 PM",19.1509879,72.9315251,Resale,"1 BHK for sale,
Veronica","Veronica, Bhandup West, Mumbai",Pre-verified,Loan Verified,84 Lacs,Negotiable,660,Sq.Ft,65.3 K/Month,1 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Veronica,Apartment,1-3 years old,Self Owned,3.8 per sq.ft/m,Vitrified Tiles,660 sq.ft,Unfurnished,NA,Floor 0 / 20,Bike and Car,Partial,Both,ff8081816284bca7016285abc9d64315,
1534,"Jul 12, 2018 9:20:27 PM",19.18137056,72.81663375,Resale,"4 BHK for sale,
Maansarovar","Maansarovar, Malvani, Near Care Hospital, Gaikwad Nagar",Pre-verified,Loan Verified,1.15 Crores,Negotiable,"1,110",Sq.Ft,89.39 K/Month,4 bedrooms,2 Baths,Vitrified Tiles,2 Balconies,Maansarovar,Apartment,>10 years old,Self Owned,3.6 per sq.ft/m,Vitrified Tiles,"1,110 sq.ft",Full,East,Floor 4 / 7,Bike and Car,Full,Corporation,ff80818160792cc001608d0245932e57,
1535,"Jul 12, 2018 9:19:05 PM",19.21340194,72.82395208,Resale,"2 BHK for sale,
Independent House","Independent House, Charkop Sector 2, Near Indian Educat ...",Pre-verified,Loan Verified,1.1 Crores,Negotiable,"1,200",Sq.Ft,85.5 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,2 Balconies,Independent House,Independent House/Villa,5-10 years old,Self Owned,0.3 per sq.ft/m,Vitrified Tiles,"1,200 sq.ft",Semi,West,Floor 0 / 1,Bike and Car,Full,Corporation,ff808181648ea8ad01648edaedf30d4a,
1536,"Jul 12, 2018 8:58:52 PM",19.1413747,72.8113012,Resale,"2 BHK for sale,
Park View","Park View, Yari Road, Amit Nagar, Versova, Near Ganga J ...",Pre-verified,Loan Verified,1.25 Crores,Negotiable,675,Sq.Ft,97.17 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Park View,Apartment,>10 years old,Self Owned,3.0 per sq.ft/m,Vitrified Tiles,675 sq.ft,Unfurnished,NA,Floor 3 / 3,Car,NA,Corporation,ff80818164896adf01648a23d3663249,
1537,"Jul 15, 2018 8:52:25 PM",19.1088761,72.85649471,Resale,"1 RK for sale,
Independent HOuse","Independent House, Parshiwada Near Hotel Solitaire",Pre-verified,Loan Verified,26 Lacs,Negotiable,180,Sq.Ft,20.21 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,Independent HOuse,Independent House/Villa,>10 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,180 sq.ft,Unfurnished,East,Floor 0 / 0,Bike,None,Corporation,ff808181649c8b2f01649de1efe31e86,
1538,"Jul 12, 2018 8:49:55 PM",19.14973509,72.82989699,Resale,"2 BHK for sale,
Gulmohar CHS","Gulmohar Chs, Near Maheshwari Bhavan",Pre-verified,Loan Verified,2.15 Crores,Negotiable,730,Sq.Ft,1.67 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,3 Balconies,Gulmohar CHS,Apartment,>10 years old,Self Owned,3.4 per sq.ft/m,Marble/Granite,730 sq.ft,Full,East,Floor 0 / 7,Bike and Car,None,Corporation,ff808181606da81a01606eb6076804f3,
1539,"Jul 12, 2018 7:17:07 PM",18.9700159,72.8407904,Resale,"2 BHK for sale,
Dinshaw Baug","Dinshaw Baug, Shivdas Chapsi Marg, Near Gst Bhavan",Pre-verified,Loan Verified,2.4 Crores,Non-negotiable,750,Sq.Ft,1.87 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,0 Balconies,Dinshaw Baug,Apartment,>10 years old,Self Owned,3.3 per sq.ft/m,Marble/Granite,750 sq.ft,Semi,East,Floor 0 / 5,Bike,Full,Both,ff8081816427148a016428d88f7277f8,
1540,"Jul 12, 2018 7:05:28 PM",19.10541797,72.84651231,Resale,"2 BHK for sale,
Kalpavrishak","Kalpavrishak, Mahatma Gandhi Road Near Sun City",Pre-verified,Loan Verified,3.3 Crores,Negotiable,700,Sq.Ft,2.57 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Kalpavrishak,Apartment,Newly Constructed,Self Owned,7.1 per sq.ft/m,Vitrified Tiles,700 sq.ft,Semi,West,Floor 4 / 7,Bike,NA,Corporation,ff8081816482ca320164836e598074b7,
1541,"Jul 12, 2018 7:01:36 PM",19.13681564,72.93495135,Resale,"1 BHK for sale,
Arogya sadan","Arogya Sadan, Ashok Nagar, Near Rachana Chs",Pre-verified,Loan Verified,85 Lacs,Negotiable,550,Sq.Ft,66.07 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,1 Balcony,Arogya sadan,Apartment,>10 years old,Self Owned,3.1 per sq.ft/m,Vitrified Tiles,550 sq.ft,Full,NA,Floor 6 / 7,Bike and Car,NA,Corporation,ff8081816483b0ba016483eb43492d36,
1542,"Jul 12, 2018 7:00:39 PM",19.21723588,72.82206659,Resale,"2 BHK for sale,
Sai Baba CHS","Sai Baba Chs, Charkop Sector 9, Near Shree Swami Samart ...",Pre-verified,Loan Verified,1.2 Crores,Negotiable,925,Sq.Ft,93.28 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,3 Balconies,Sai Baba CHS,Apartment,3-5 years old,Self Owned,3.2 per sq.ft/m,Vitrified Tiles,925 sq.ft,Unfurnished,East,Floor 7 / 9,None,NA,Corporation,ff8081816482ca32016482f373291de0,
1543,"Jul 12, 2018 6:58:04 PM",19.1741536,72.9345862,Resale,"1 BHK for sale,
Mulund Darshan","Mulund Darshan, Mulund West, Mumbai",Pre-verified,Loan Verified,80 Lacs,Negotiable,396,Sq.Ft,62.19 K/Month,1 bedrooms,1 Bath,Marble/Granite,0 Balconies,Mulund Darshan,Apartment,>10 years old,Self Owned,2.1 per sq.ft/m,Marble/Granite,396 sq.ft,Semi,North,Floor 7 / 7,None,NA,Corporation,ff808181647f5c380164828e03e12c79,
1544,"Jul 12, 2018 6:55:54 PM",19.1829209,72.8390793,Resale,"1 BHK for sale,
Noopur Apartment","Noopur Apartment, Pannalal Ghosh Road, Somwari Bazar, M ...",Pre-verified,Loan Verified,1.05 Crores,Negotiable,670,Sq.Ft,81.62 K/Month,1 bedrooms,2 Baths,Cement,3 Balconies,Noopur Apartment,Apartment,3-5 years old,Self Owned,5.2 per sq.ft/m,Cement,670 sq.ft,Unfurnished,East,Floor 6 / 7,None,None,Both,ff80818159c49eb90159c5c790ff2817,
1545,"Jul 12, 2018 6:50:54 PM",19.12484637,72.86364226,Resale,"1 BHK for sale,
Uttarayan CHS","Uttarayan Chs, Subhash Nagar, Near J.n. Mody Building",Pre-verified,Loan Verified,95 Lacs,Negotiable,464,Sq.Ft,73.84 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,Uttarayan CHS,Apartment,Newly Constructed,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,464 sq.ft,Unfurnished,East,Floor 5 / 5,Bike and Car,NA,Corporation,ff8081815f62d9e5015f670b41d721dc,
1546,"Jul 12, 2018 6:50:19 PM",18.9952851,72.8482933,Resale,"2 BHK for sale,
Ashok Gardens","Ashok Gardens, G. D. Ambekar Marg",Pre-verified,Loan Verified,5.1 Crores,Negotiable,"1,405",Sq.Ft,3.96 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,1 Balcony,Ashok Gardens,Apartment,5-10 years old,Self Owned,8.9 per sq.ft/m,Vitrified Tiles,"1,405 sq.ft",Semi,NA,Floor 5 / 23,Car,NA,Corporation,ff8081816459f38d01645a75698230fc,
1547,"Jul 12, 2018 6:44:06 PM",19.1772541,72.86353801,Resale,"2 BHK for sale,
Vrindavan CHS","Vrindavan Chs, Dindoshi Bus Depot Near Gold's Gym",Pre-verified,Loan Verified,1.3 Crores,Negotiable,745,Sq.Ft,1.01 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Vrindavan CHS,Apartment,5-10 years old,Self Owned,4.0 per sq.ft/m,Vitrified Tiles,745 sq.ft,Unfurnished,East,Floor 4 / 8,Bike,NA,Both,ff808181609813b701609ca0b6246938,
1548,"Jul 12, 2018 6:42:14 PM",19.19315379,72.84785264,Resale,"2 BHK for sale,
loktirth apt","Loktirth Apt, Bhadran Nagar Rd, Near M.k.e.s College Of Law",Pre-verified,Loan Verified,2.05 Crores,Negotiable,900,Sq.Ft,1.59 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,3 Balconies,loktirth apt,Apartment,>10 years old,Self Owned,2.8 per sq.ft/m,Vitrified Tiles,900 sq.ft,Semi,West,Floor 7 / 7,Bike and Car,NA,Both,ff8081816483ad17016483f1e5191463,
1549,"Jul 12, 2018 6:40:26 PM",19.17349799,72.85887989,Resale,"1 BHK for sale,
Prayag","Prayag, Western Express Hwy, Opp Oberoi Mall",Pre-verified,Loan Verified,1.1 Crores,Negotiable,419,Sq.Ft,85.5 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,Prayag,Apartment,Under Construction,Self Owned,7.2 per sq.ft/m,Vitrified Tiles,419 sq.ft,Semi,North,Floor 3 / 23,Bike and Car,NA,Corporation,ff808181644f7151016450a00f547a85,
1550,"Jul 12, 2018 6:29:09 PM",19.16296125,72.94903502,Resale,"1 BHK for sale,
Not disclosed","Not Disclosed, Pandit Jawaharlal Nehru Rd,near Mehul Cinema",Pre-verified,Loan Verified,1.05 Crores,Negotiable,650,Sq.Ft,81.62 K/Month,1 bedrooms,1 Bath,Marble/Granite,1 Balcony,Not disclosed,Apartment,>10 years old,Self Owned,2.3 per sq.ft/m,Marble/Granite,650 sq.ft,Semi,North-East,Floor 0 / 4,Bike and Car,Full,Corporation,ff8081816482c7270164831c79cf22dc,
1551,"Jul 12, 2018 6:18:43 PM",19.11371226,72.82813109,Resale,"4 BHK for sale,
Vasundhara CHS","Vasundhara Chs, Jvpd, Near Croma Juhu",Pre-verified,Loan Verified,10 Crores,Negotiable,"1,600",Sq.Ft,7.77 Lacs/Month,4 bedrooms,4 Baths,Vitrified Tiles,2 Balconies,Vasundhara CHS,Apartment,5-10 years old,Self Owned,18.8 per sq.ft/m,Vitrified Tiles,"1,600 sq.ft",Semi,NA,Floor 6 / 14,Bike and Car,NA,Both,ff808181645f9730016460163ca06563,
1552,"Jul 12, 2018 6:01:14 PM",19.05563532,72.83312447,Resale,"2 BHK for sale,
Royal Heights","Royal Heights, Hill Road,ramdas Nayak Marg, Near To Elc ...",Pre-verified,Loan Verified,2 Crores,Non-negotiable,664,Sq.Ft,1.55 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,0 Balconies,Royal Heights,Apartment,>10 years old,Self Owned,0.0 per sq.ft/m,Marble/Granite,664 sq.ft,Unfurnished,West,Floor 5 / 7,Bike,None,Corporation,ff80818163f29b220163f877105243bc,
1553,"Jul 12, 2018 5:51:41 PM",19.23675156,72.83309174,Resale,"1 BHK for sale,
Gorai Shiv Shambhu","Gorai Shiv Shambhu, Behind Gorai Bus Depot, Borivali We ...",Pre-verified,Loan Verified,74 Lacs,Negotiable,600,Sq.Ft,57.52 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,2 Balconies,Gorai Shiv Shambhu,Apartment,>10 years old,Self Owned,3.0 per sq.ft/m,Vitrified Tiles,600 sq.ft,Unfurnished,East,Floor 3 / 7,None,NA,Corporation,ff80818162415f9801624330364d608b,
1554,"Jul 12, 2018 5:45:21 PM",19.0220646,72.8418319,Resale,"2 BHK for sale,
Gurukrupa CHS","Gurukrupa Chs, N. C. Kelkar Road, Near Plaza Cinema",Pre-verified,Loan Verified,2.75 Crores,Negotiable,655,Sq.Ft,2.14 Lacs/Month,2 bedrooms,1 Bath,Marble/Granite,2 Balconies,Gurukrupa CHS,Apartment,>10 years old,Self Owned,8.4 per sq.ft/m,Marble/Granite,655 sq.ft,Semi,East,Floor 6 / 7,Car,NA,Both,ff808181647f56a401647f5967c8015a,
1555,"Jul 12, 2018 5:31:27 PM",19.0953699,72.8927379,Resale,"2 BHK for sale,
Himalaya Society","Himalaya Society, Sungrace School",Pre-verified,Loan Verified,1.5 Crores,Non-negotiable,"1,000",Sq.Ft,1.17 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,2 Balconies,Himalaya Society,Apartment,>10 years old,Self Owned,1.4 per sq.ft/m,Marble/Granite,"1,000 sq.ft",Full,NA,Floor 2 / 4,Bike and Car,NA,Corporation,ff808181644f763e016450750c674466,
1556,"Jul 12, 2018 5:11:51 PM",19.16679737,72.93757147,Resale,"4 BHK for sale,
Mahableshwar","Mahableshwar, Moti Nagar, Near Nirmal Lifestyle Mall",Pre-verified,Loan Verified,5 Crores,Negotiable,"4,000",Sq.Ft,3.89 Lacs/Month,4 bedrooms,5 Baths,Vitrified Tiles,8 Balconies,Mahableshwar,Independent House/Villa,5-10 years old,Self Owned,0.8 per sq.ft/m,Vitrified Tiles,"4,000 sq.ft",Full,East,Floor 0 / 2,Bike and Car,NA,Both,ff8081816140cd29016146a9c2c32bf8,
1557,"Jul 12, 2018 5:10:02 PM",19.11370994,72.90773036,Resale,"2 BHK for sale,
Lake Castle","Lake Castle, Cliff Avenue Near Forest Park",Pre-verified,Loan Verified,3.4 Crores,Negotiable,"1,050",Sq.Ft,2.64 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,0 Balconies,Lake Castle,Apartment,>10 years old,Self Owned,7.0 per sq.ft/m,Marble/Granite,"1,050 sq.ft",Unfurnished,NA,Floor 14 / 21,Car,NA,Corporation,ff808181645e469901645ea0635f1871,
1558,"Jul 15, 2018 5:05:59 PM",19.0784751,72.85708312,Resale,"1 BHK for sale,
Landmark CHS","Landmark Chs, Aaram Society Rd, Hind Nagar, Near Hind S ...",Pre-verified,Loan Verified,1.2 Crores,Negotiable,500,Sq.Ft,93.28 K/Month,1 bedrooms,1 Bath,Mosaic,1 Balcony,Landmark CHS,Apartment,>10 years old,Self Owned,2.8 per sq.ft/m,Mosaic,500 sq.ft,Semi,North,Floor 6 / 6,None,Partial,Corporation,ff80818160ea53ee0160ef5cd4b240d1,
1559,"Jul 12, 2018 4:42:16 PM",19.1555729,72.8854138,Resale,"2 BHK for sale,
Summit","Summit, Aarey Colony, Near Emerald Club",Pre-verified,Loan Verified,85 Lacs,Negotiable,798,Sq.Ft,66.07 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,1 Balcony,Summit,Apartment,5-10 years old,Self Owned,3.8 per sq.ft/m,Vitrified Tiles,798 sq.ft,Semi,North,Floor 12 / 20,Bike and Car,Full,Both,ff80818156a837a90156a84cf1c4014a,
1560,"Jul 12, 2018 4:36:56 PM",19.2488239,72.85865199,Resale,"1 BHK for sale,
Rishabh CHS","Rishabh Chs, Yr Tawde Rd Near Deepa Restaurant And Bar,",Pre-verified,Loan Verified,76 Lacs,Negotiable,475,Sq.Ft,59.08 K/Month,1 bedrooms,1 Bath,Mosaic,0 Balconies,Rishabh CHS,Apartment,>10 years old,Self Owned,2.3 per sq.ft/m,Mosaic,475 sq.ft,Semi,East,Floor 3 / 4,Bike and Car,Full,Both,ff808181622988820162299b06380bda,
1561,"Jul 12, 2018 4:32:02 PM",18.97271584,72.82163785,Resale,"1 RK for sale,
Krantinagar Hsg. Society","Krantinagar Hsg. Society Ltd., Dr Anandrao Nair Marg Rt ...",Pre-verified,Loan Verified,80 Lacs,Negotiable,250,Sq.Ft,62.19 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,Krantinagar Hsg. So,Apartment,>10 years old,Self Owned,2.0 per sq.ft/m,Vitrified Tiles,250 sq.ft,Unfurnished,South-East,Floor 0 / 7,None,NA,Corporation,ff80818163b1fdaf0163b5ce24014af2,
1562,"Jul 15, 2018 4:22:04 PM",19.18940687,72.81994658,Resale,"3 BHK for sale,
Independent House","Independent House, Malvani, Near Holy Angel High School",Pre-verified,Loan Verified,80 Lacs,Negotiable,900,Sq.Ft,62.19 K/Month,3 bedrooms,3 Baths,Vitrified Tiles,2 Balconies,Independent House,Independent House/Villa,Newly Constructed,Self Owned,1.7 per sq.ft/m,Vitrified Tiles,900 sq.ft,Semi,NA,Floor 0 / 1,Bike and Car,NA,Both,ff808181649c914101649d6b3e895456,
1563,"Jul 12, 2018 4:12:56 PM",19.1685889,72.8787388,Resale,"2 BHK for sale,
Omkar Ananta","Omkar Ananta, Off. Film City Road, Near Indira Gandhi I ...",Pre-verified,Loan Verified,2 Crores,Negotiable,"1,242",Sq.Ft,1.55 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Omkar Ananta,Apartment,Newly Constructed,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,"1,242 sq.ft",Unfurnished,East,Floor 28 / 33,Car,NA,Corporation,ff8081816488816e0164889f8d01156d,
1564,"Jul 12, 2018 4:11:25 PM",19.1513314,72.9334728,Resale,"1 BHK for sale,
Beauty Heights","Beauty Heights, Gavdevi Road, Off Lbs Marg, Bhandup",Pre-verified,Loan Verified,1.05 Crores,Negotiable,690,Sq.Ft,81.62 K/Month,1 bedrooms,2 Baths,Vitrified Tiles,2 Balconies,Beauty Heights,Apartment,Newly Constructed,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,690 sq.ft,Unfurnished,East,Floor 11 / 22,Bike and Car,NA,Corporation,ff808181648871ce016488819f790722,
1565,"Jul 12, 2018 4:10:37 PM",19.1833202,72.86086454,Resale,"3 BHK for sale,
Alta Monte","Alta Monte, Kokanipada, Near Janki Niwas Chs Ltd",Pre-verified,Loan Verified,2.9 Crores,Non-negotiable,"1,680",Sq.Ft,2.25 Lacs/Month,3 bedrooms,3 Baths,Vitrified Tiles,3 Balconies,Alta Monte,Apartment,Newly Constructed,Self Owned,6.0 per sq.ft/m,Vitrified Tiles,"1,680 sq.ft",Unfurnished,South,Floor 15 / 36,Bike and Car,NA,Corporation,ff8081816488a6b9016488ced7280fd8,
1566,"Jul 12, 2018 4:10:27 PM",19.03734796,72.84276308,Resale,"2 BHK for sale,
ALIMINA APARTMENT","Alimina Apartment, Lj Road,near Paradise E Square",Pre-verified,Loan Verified,2.8 Crores,Negotiable,960,Sq.Ft,2.18 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,1 Balcony,ALIMINA APARTMENT,Apartment,5-10 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,960 sq.ft,Semi,East,Floor 4 / 6,None,NA,Corporation,ff8081816488816e01648887e36a0465,
1567,"Jul 12, 2018 4:10:15 PM",19.2621092,72.8608766,Resale,"1 RK for sale,
New Ashish Co-Op Hsg Soc","New Ashish Co-op Hsg Society, Sudhindra Nagar, Near Kri ...",Pre-verified,Loan Verified,48 Lacs,Negotiable,280,Sq.Ft,37.31 K/Month,1 bedrooms,1 Bath,Mosaic,0 Balconies,New Ashish Co-Op Hs,Apartment,>10 years old,Self Owned,3.6 per sq.ft/m,Mosaic,280 sq.ft,Unfurnished,East,Floor 3 / 4,Bike and Car,Full,Both,ff80818154392c4101543974ea720421,
1568,"Jul 12, 2018 4:09:00 PM",19.17406967,72.87387933,Resale,"3 BHK for sale,
Satellite Towers","Satellite Towers, Azad Nagar Near Vsudha Hospital",Pre-verified,Loan Verified,3.15 Crores,Negotiable,"1,500",Sq.Ft,2.45 Lacs/Month,3 bedrooms,3 Baths,Vitrified Tiles,2 Balconies,Satellite Towers,Apartment,5-10 years old,Self Owned,3.3 per sq.ft/m,Vitrified Tiles,"1,500 sq.ft",Semi,NA,Floor 17 / 25,Bike and Car,NA,Both,ff80818164877a8e016488434d2a7b03,
1569,"Jul 12, 2018 4:06:57 PM",19.199561,72.8753539,Resale,"2 BHK for sale,
Fountain Heights","Fountain Heights, Kandivali East, Mumbai.",Pre-verified,Loan Verified,1.78 Crores,Negotiable,"1,245",Sq.Ft,1.38 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,1 Balcony,Fountain Heights,Apartment,Newly Constructed,Self Owned,5.6 per sq.ft/m,Vitrified Tiles,"1,245 sq.ft",Semi,West,Floor 16 / 21,Bike and Car,NA,Corporation,ff80818164877a8e01648804f6dd4aea,
1570,"Jul 12, 2018 4:06:43 PM",19.16768564,72.84590477,Resale,"1 BHK for sale,
undisclosed apartment","Undisclosed Apartment, Piramal Nagar,near S. S. And L. ...",Pre-verified,Loan Verified,1.12 Crores,Non-negotiable,540,Sq.Ft,87.06 K/Month,1 bedrooms,1 Bath,Marble/Granite,0 Balconies,undisclosed apartme,Apartment,>10 years old,Self Owned,12.0 per sq.ft/m,Marble/Granite,540 sq.ft,Unfurnished,East,Floor 2 / 4,Bike and Car,NA,Corporation,ff8081816488816e0164888d4e1807d4,
1571,"Jul 12, 2018 4:05:35 PM",19.07240246,72.8804432,Resale,"2 BHK for sale,
MK RESIDENCY","Mk Residency, Near Heera Group",Pre-verified,Loan Verified,96 Lacs,Negotiable,750,Sq.Ft,74.62 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,MK RESIDENCY,Apartment,3-5 years old,Self Owned,2.0 per sq.ft/m,Vitrified Tiles,750 sq.ft,Full,North-West,Floor 4 / 7,Bike and Car,NA,Corporation,ff80818164877a8e0164880e911052bd,
1572,"Jul 12, 2018 3:50:03 PM",19.1531849,72.9372903,Resale,"1 BHK for sale,
Srishti Solitaire","Srishti Solitaire, Bhandup West, Mumbai",Pre-verified,Loan Verified,85 Lacs,Negotiable,690,Sq.Ft,66.07 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,1 Balcony,Srishti Solitaire,Apartment,Newly Constructed,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,690 sq.ft,Unfurnished,East,Floor 10 / 23,Bike and Car,NA,Corporation,ff80818164886eca01648874c66003b8,
1573,"Jul 12, 2018 3:47:20 PM",19.19423573,72.82624922,Resale,"2 BHK for sale,
manavsthal","Manavsthal, New Mahakali Nagar Near Om Sai Seva Mandal ...",Pre-verified,Loan Verified,1.14 Crores,Negotiable,950,Sq.Ft,88.61 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,3 Balconies,manavsthal,Apartment,3-5 years old,Self Owned,5.8 per sq.ft/m,Vitrified Tiles,950 sq.ft,Unfurnished,South,Floor 5 / 20,Car,NA,Both,ff808181643aefc201643ba5365f014a,
1574,"Jul 12, 2018 3:43:54 PM",19.0541472,72.9060503,Resale,"3 BHK for sale,
Chembur Castle","Chembur Castle, S.t. Road, Behind Atur Park, Chembur, M ...",Pre-verified,Loan Verified,3.6 Crores,Negotiable,"1,700",Sq.Ft,2.8 Lacs/Month,3 bedrooms,3 Baths,Marble/Granite,2 Balconies,Chembur Castle,Apartment,1-3 years old,On Lease(0 years),5.3 per sq.ft/m,Marble/Granite,"1,700 sq.ft",Unfurnished,East,Floor 8 / 17,Bike and Car,Full,Both,ff80818155d1039f0155d8ea54912d29,
1575,"Jul 12, 2018 3:38:03 PM",19.1883531,72.84315679,Resale,"2 BHK for sale,
Amiza","Amiza, Mamletdarwadi,near Laxmi Niwas",Pre-verified,Loan Verified,2.5 Crores,Non-negotiable,"1,000",Sq.Ft,1.94 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,3 Balconies,Amiza,Apartment,Newly Constructed,Self Owned,2.5 per sq.ft/m,Vitrified Tiles,"1,000 sq.ft",Unfurnished,West,Floor 1 / 7,Bike and Car,NA,Both,ff8081816488a9d2016488d932cf2569,
1576,"Jul 12, 2018 3:37:41 PM",19.10434048,72.8484039,Resale,"1 BHK for sale,
Not disclosed","Not Disclosed, Paranjape Nagar, Near, Shri Jain Mandir, ...",Pre-verified,Loan Verified,2.1 Crores,Non-negotiable,441,Sq.Ft,1.63 Lacs/Month,1 bedrooms,1 Bath,Vitrified Tiles,1 Balcony,Not disclosed,Apartment,>10 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,441 sq.ft,Semi,South-West,Floor 1 / 6,Car,NA,NA,ff8081816488a9d2016488d2a92e2062,
1577,"Jul 12, 2018 3:36:04 PM",19.1656313,72.9649493,Resale,"2 BHK for sale,
Mukti Towers","Mukti Towers, Mulund, Mumbai",Pre-verified,Loan Verified,1.5 Crores,Non-negotiable,892,Sq.Ft,1.17 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Mukti Towers,Apartment,1-3 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,892 sq.ft,Semi,East,Floor 3 / 14,Car,NA,Both,ff80818164891c6101648948f1221fc9,
1578,"Jul 12, 2018 3:35:29 PM",19.16678723,72.93731943,Resale,"3 BHK for sale,
Cascade Vasant Oscar","Cascade Vasant Oscar, Near Nirmal One Spirit, Nirmal Li ...",Pre-verified,Loan Verified,3.25 Crores,Negotiable,"1,500",Sq.Ft,2.53 Lacs/Month,3 bedrooms,2 Baths,Marble/Granite,1 Balcony,Cascade Vasant Osca,Apartment,5-10 years old,Self Owned,4.0 per sq.ft/m,Marble/Granite,"1,500 sq.ft",Semi,East,Floor 1 / 14,Car,NA,Both,ff80818164896adf016489cd4e2f1b38,
1579,"Jul 12, 2018 3:33:33 PM",19.262979,72.87487407,Resale,"3 BHK for sale,
Not disclosed","Not Disclosed, Ketkipada, Near Thakur Mall",Pre-verified,Loan Verified,1.6 Crores,Non-negotiable,"1,395",Sq.Ft,1.24 Lacs/Month,3 bedrooms,3 Baths,Marble/Granite,1 Balcony,Not disclosed,Apartment,3-5 years old,Self Owned,0.0 per sq.ft/m,Marble/Granite,"1,395 sq.ft",Semi,North-East,Floor 14 / 15,Car,NA,Both,ff80818164891c610164895936a92bb8,
1580,"Jul 12, 2018 2:46:09 PM",19.1982274,72.84186969,Resale,"2 BHK for sale,
Paras Nagar","Paras Nagar, Shankar Lane, Adarsh Dugdhalaya, Dominic C ...",Pre-verified,Loan Verified,1.05 Crores,Negotiable,600,Sq.Ft,81.62 K/Month,2 bedrooms,1 Bath,Vitrified Tiles,1 Balcony,Paras Nagar,Apartment,>10 years old,Self Owned,1.3 per sq.ft/m,Vitrified Tiles,600 sq.ft,Semi,NA,Floor 0 / 3,Bike and Car,Full,Both,ff80818161cb77fe0161ce2e90c03e9b,
