"Jul 17, 2018 12:25:26 PM",19.17915597,72.93644303,Resale,"2 BHK for sale,
Sundaram Building","Sundaram Building, Mulund Colony Near Hanuman Mandir",Pre-verified,Loan Verified,1.1 Crores,Negotiable,715,Sq.Ft,85.5 K/Month,Estimated EMI,2 bedrooms,Vitrified Tiles,,Posted On,2 Baths,Vitrified Tiles,Immediately,Possession,1 Balcony,Sundaram Building,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,2.8 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,715 sq.ft,Furnishing Status,Semi,Facing,South,Floor,Floor 2 / 3,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Both,ff808181649c8b2f01649cd6d53c48c3
"Jul 20, 2018 12:18:46 PM",19.17015589,72.94933976,Resale,"1 RK for sale,
Sai shradha housing soci","Sai Shradha Housing Society, Ganesh Gavde Road Near ...",Pre-verified,Loan Verified,45 Lacs,Negotiable,300,Sq.Ft,34.98 K/Month,Estimated EMI,1 bedrooms,Marble/Granite,,Posted On,1 Bath,Marble/Granite,Immediately,Possession,2 Balconies,Sai shradha housing,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,1.7 per sq.ft/m,Flooring,Marble/Granite,Builtup Area,300 sq.ft,Furnishing Status,Unfurnished,Facing,North,Floor,Floor 1 / 7,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Corporation,ff80818164b2c5550164b31f1ae81b92
"Jul 20, 2018 12:15:58 PM",19.1301147,72.8364372,Resale,"1 BHK for sale,
Siddeshwar CHS","Siddeshwar Chs, Veera Desai Road, Near Icici Bank",Pre-verified,Loan Verified,1.4 Crores,Non-negotiable,600,Sq.Ft,1.09 Lacs/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,2 Baths,Vitrified Tiles,Immediately,Possession,3 Balconies,Siddeshwar CHS,Apartment,Age of the Building,5-10 years old,Ownership Type,Self Owned,Maintenance Charges,0.5 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,600 sq.ft,Furnishing Status,Semi,Facing,East,Floor,Floor 7 / 8,Flats in Building,5,Parking Available,Car,Power backup,None,Water Supply,Corporation,ff808181565ed10b0156650e824c6b0a
"Jul 17, 2018 12:09:04 PM",19.2138477,72.84452641,Resale,"1 RK for sale,
shantiniketan chs","Shantiniketan Chs, Satya Nagar, Near Pawar Public School",Pre-verified,Loan Verified,60 Lacs,Negotiable,275,Sq.Ft,46.64 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,1 Balcony,shantiniketan chs,Apartment,Age of the Building,5-10 years old,Ownership Type,Self Owned,Maintenance Charges,2.2 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,275 sq.ft,Furnishing Status,Semi,Facing,West,Floor,Floor 1 / 7,Flats in Building,0,Parking Available,Bike and Car,Power backup,NA,Water Supply,Corporation,ff80818164912f3b01649317eae75d50
,19.1400466,72.80594987,Resale,"1 RK for sale,
Standalone Building","Standalone Building, Patil Galli Near Jama Masjid",Pre-verified,Loan Verified,13 Lacs,Negotiable,220,Sq.Ft,10.11 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,0 Balconies,Standalone Building,Independent House/Villa,Age of the Building,1-3 years old,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,220 sq.ft,Furnishing Status,Unfurnished,Facing,East,Floor,Floor 1 / 4,Flats in Building,0,Parking Available,Bike,Power backup,None,Water Supply,Corporation,ff8081816387775c01638787878e0bd3
,19.10810517,72.83598039,Resale,"4 BHK for sale,
standalone building","Standalone Building, Bhaktivedanta Swami Marg, Near Hbt ...",Pre-verified,Loan Verified,14 Crores,Non-negotiable,"3,000",Sq.Ft,10.88 Lacs/Month,Estimated EMI,4 bedrooms,Marble/Granite,,Posted On,4 Baths,Marble/Granite,Immediately,Possession,2 Balconies,standalone building,Independent Floor/Builder Floor,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Marble/Granite,Builtup Area,"3,000 sq.ft",Furnishing Status,Semi,Facing,NA,Floor,Floor 2 / 12,Flats in Building,0,Parking Available,Bike and Car,Power backup,NA,Water Supply,Corporation,ff808181641c39eb016420af1dd4317d
,19.1154908,72.8726952,Resale,"1 BHK for sale,
Asalpa","Asalpa, Sakinaka Parerawadi ,near Dish Hospitality",Pre-verified,Loan Verified,2 Crores,Negotiable,600,Sq.Ft,1.55 Lacs/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,1 Balcony,Asalpa,Independent House/Villa,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,0.8 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,600 sq.ft,Furnishing Status,Unfurnished,Facing,North-West,Floor,Floor 0 / 0,Flats in Building,0,Parking Available,Bike and Car,Power backup,NA,Water Supply,Corporation,ff8081816310eded016311181df91bb0
,19.2018034,72.8562788,Resale,"1 BHK for sale,
nagwekar 2 Chs","Nagwekar 2 Chs, 1st Floor Akruli Road, Near Punjab Nati ...",Pre-verified,Loan Verified,87 Lacs,Negotiable,600,Sq.Ft,67.63 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,0 Balconies,nagwekar 2 Chs,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,2.0 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,600 sq.ft,Furnishing Status,Semi,Facing,NA,Floor,Floor 0 / 5,Flats in Building,0,Parking Available,Bike and Car,Power backup,Full,Water Supply,Both,ff808181638bb52301638c1c9f19236d
,19.0707532,72.8781322,Resale,"1 BHK for sale,
Uno Shelters","Uno Shelters, Kurla West, Near Peninsula Technopark",Pre-verified,Loan Verified,1.2 Crores,Negotiable,609,Sq.Ft,93.28 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,01-Sep-18,Possession,0 Balconies,Uno Shelters,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,1.1 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,609 sq.ft,Furnishing Status,Full,Facing,NA,Floor,Floor 5 / 6,Flats in Building,18,Parking Available,Car,Power backup,None,Water Supply,Corporation,ff808181649c8e8501649cb3059a1194
,19.08935213,72.89108514,Resale,"1 BHK for sale,
Independent House","Independent House, Sanjay Nagar Near Gaiban Shah Dargah",Pre-verified,Loan Verified,27 Lacs,Non-negotiable,330,Sq.Ft,20.99 K/Month,Estimated EMI,1 bedrooms,Marble/Granite,,Posted On,2 Baths,Marble/Granite,Immediately,Possession,1 Balcony,Independent House,Independent House/Villa,Age of the Building,1-3 years old,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Marble/Granite,Builtup Area,330 sq.ft,Furnishing Status,Unfurnished,Facing,NA,Floor,Floor 0 / 0,Flats in Building,0,Parking Available,None,Power backup,NA,Water Supply,Corporation,ff80818164912f3b016492e38e8a38ba
