"Jul 22, 2018 4:19:48 PM",19.2539332,72.8672448,Resale,"1 RK for sale,
Raj lok chs","Raj Lok Chs, Overipada , Nr. Shailendra School",Pre-verified,Loan Verified,52 Lacs,Non-negotiable,325,Sq.Ft,40.42 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,1 Balcony,Raj lok chs,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,325 sq.ft,Furnishing Status,Full,Facing,West,Floor,Floor 2 / 4,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Corporation,ff80818163920b54016395a033b804bd
"Jul 22, 2018 4:14:21 PM",19.00871484,72.81525704,Resale,"2 BHK for sale,
Jayashree Apartment","Jayashree Apartment, Worli Sea Face, Near State Bank Of ...",Pre-verified,Loan Verified,6 Crores,Negotiable,650,Sq.Ft,4.66 Lacs/Month,Estimated EMI,2 bedrooms,Marble/Granite,,Posted On,2 Baths,Marble/Granite,01-Apr-19,Possession,0 Balconies,Jayashree Apartment,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,7.9 per sq.ft/m,Flooring,Marble/Granite,Builtup Area,650 sq.ft,Furnishing Status,Full,Facing,South,Floor,Floor 4 / 4,Flats in Building,22,Parking Available,Car,Power backup,Full,Water Supply,Corporation,ff808181647f5e99016481badd194afd
"Jul 22, 2018 3:48:25 PM",19.22843508,72.85610855,Resale,"1 BHK for sale,
Gautam Nagar CHS","Gautam Nagar Chs, Swami Vivekananda Rd Datta Park, Near ...",Pre-verified,Loan Verified,1.1 Crores,Negotiable,640,Sq.Ft,85.5 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,1 Balcony,Gautam Nagar CHS,Apartment,Age of the Building,1-3 years old,Ownership Type,Self Owned,Maintenance Charges,1.3 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,640 sq.ft,Furnishing Status,Semi,Facing,North,Floor,Floor 4 / 4,Flats in Building,0,Parking Available,Bike and Car,Power backup,Full,Water Supply,Both,ff8081815582790d015586aaee165bf3
"Jul 22, 2018 3:46:37 PM",19.245165,72.8581256,Resale,"1 BHK for sale,
Celina CHS","Celina Chs, Leo Peter Wadi, Near Rustomjee Cambridge In ...",Pre-verified,Loan Verified,63 Lacs,Negotiable,450,Sq.Ft,48.97 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,0 Balconies,Celina CHS,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,1.7 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,450 sq.ft,Furnishing Status,Semi,Facing,East,Floor,Floor 3 / 7,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Corporation,ff80818164b68a700164b7ff208c7414
"Jul 22, 2018 3:38:03 PM",19.06701103,72.87584445,Resale,"2 BHK for sale,
Jilani Heights","Jilani Heights, Match Factory Lane, Near Municipal Corp ...",Pre-verified,Loan Verified,1.3 Crores,Negotiable,800,Sq.Ft,1.01 Lacs/Month,Estimated EMI,2 bedrooms,Marble/Granite,,Posted On,2 Baths,Marble/Granite,Immediately,Possession,0 Balconies,Jilani Heights,Apartment,Age of the Building,5-10 years old,Ownership Type,Self Owned,Maintenance Charges,15.0 per sq.ft/m,Flooring,Marble/Granite,Builtup Area,800 sq.ft,Furnishing Status,Unfurnished,Facing,West,Floor,Floor 6 / 8,Flats in Building,16,Parking Available,Bike,Power backup,None,Water Supply,Corporation,ff80818164bcad8d0164bcaeb43a00a3
"Jul 22, 2018 3:36:29 PM",19.19401337,72.82765833,Resale,"1 BHK for sale,
Gaurav Discovery","Gaurav Discovery, Near Om Sai Seva Mandal Trust",Pre-verified,Loan Verified,93 Lacs,Negotiable,745,Sq.Ft,72.29 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,2 Baths,Vitrified Tiles,01-Jul-19,Possession,0 Balconies,Gaurav Discovery,Apartment,Age of the Building,Under Construction,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,745 sq.ft,Furnishing Status,Unfurnished,Facing,North,Floor,Floor 2 / 22,Flats in Building,88,Parking Available,Bike and Car,Power backup,NA,Water Supply,NA,ff80818150a87d9e0150ae31e54537fb
"Jul 22, 2018 3:16:06 PM",19.2391606,72.8644459,Resale,"2 BHK for sale,
Adinath Towers","Adinath Towers, Bhandup, Mumbai",Pre-verified,Loan Verified,1.8 Crores,Negotiable,"1,096",Sq.Ft,1.4 Lacs/Month,Estimated EMI,2 bedrooms,Vitrified Tiles,,Posted On,2 Baths,Vitrified Tiles,Immediately,Possession,0 Balconies,Adinath Towers,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,6.4 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,"1,096 sq.ft",Furnishing Status,Unfurnished,Facing,NA,Floor,Floor 1 / 14,Flats in Building,0,Parking Available,None,Power backup,None,Water Supply,Corporation,ff80818164bc36490164bc3944e6002d
"Jul 22, 2018 3:10:46 PM",19.18064377,72.95663437,Resale,"1 RK for sale,
Maruti Apartment","Maruti Apartment, Sarojini Naidu Rd Near Riddhi Siddhi Apts",Pre-verified,Loan Verified,61 Lacs,Negotiable,370,Sq.Ft,47.42 K/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,1 Bath,Vitrified Tiles,Immediately,Possession,0 Balconies,Maruti Apartment,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,2.3 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,370 sq.ft,Furnishing Status,Unfurnished,Facing,East,Floor,Floor 1 / 3,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Both,ff80818159c49a360159c660a67b27c3
"Jul 25, 2018 3:02:59 PM",19.1354411,72.81772411,Resale,"2 BHK for sale,
Suyog Darshan Apartments","Suyog Darshan Apartments, Fisheries University Rd,verso ...",Pre-verified,Loan Verified,2.5 Crores,Negotiable,711,Sq.Ft,1.94 Lacs/Month,Estimated EMI,2 bedrooms,Vitrified Tiles,,Posted On,2 Baths,Vitrified Tiles,01-Dec-18,Possession,1 Balcony,Suyog Darshan Apart,Apartment,Age of the Building,Under Construction,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,711 sq.ft,Furnishing Status,Unfurnished,Facing,West,Floor,Floor 8 / 12,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Corporation,ff80818164cfa9960164d064bba16b3c
"Jul 25, 2018 3:01:27 PM",19.13096573,72.81599216,Resale,"1 BHK for sale,
Picnic Apartment","Picnic Apartment, Versova,near Versova Welfare Associat ...",Pre-verified,Loan Verified,1.5 Crores,Negotiable,640,Sq.Ft,1.17 Lacs/Month,Estimated EMI,1 bedrooms,Vitrified Tiles,,Posted On,2 Baths,Vitrified Tiles,Immediately,Possession,1 Balcony,Picnic Apartment,Apartment,Age of the Building,>10 years old,Ownership Type,Self Owned,Maintenance Charges,0.0 per sq.ft/m,Flooring,Vitrified Tiles,Builtup Area,640 sq.ft,Furnishing Status,Full,Facing,East,Floor,Floor 2 / 4,Flats in Building,0,Parking Available,Bike and Car,Power backup,None,Water Supply,Both,ff80818164cfa9960164d06cbf6a6f84
